Date,Close,High,Low,Open,Volume
2009-02-26,"2,500.00","2,650.00","2,260.00","2,600.00","89,400"
2009-02-25,"2,560.00","2,845.00","2,560.00","2,845.00","76,316"
2009-02-24,"2,620.00","2,795.00","2,525.00","2,700.00","144,355"
2009-02-23,"2,860.00","2,950.00","2,700.00","2,770.00","101,036"
2009-02-20,"2,895.00","3,210.00","2,755.00","3,150.00","138,710"
2009-02-19,"3,220.00","3,425.00","3,050.00","3,425.00","39,237"
2009-02-18,"3,330.00","3,370.00","2,910.00","3,160.00","120,554"
2009-02-17,"3,265.00","3,500.00","3,115.00","3,320.00","197,344"
2009-02-16,"3,290.00","3,385.00","3,145.00","3,220.00","92,516"
2009-02-13,"3,140.00","3,140.00","2,885.00","3,060.00","97,789"
2009-02-12,"2,990.00","3,200.00","2,980.00","3,050.00","191,599"
2009-02-11,"2,975.00","3,000.00","2,560.00","2,615.00","230,726"
2009-02-10,"2,650.00","2,720.00","2,525.00","2,720.00","65,998"
2009-02-09,"2,615.00","2,750.00","2,550.00","2,660.00","116,917"
2009-02-06,"2,600.00","2,690.00","2,480.00","2,510.00","169,243"
2009-02-05,"2,450.00","2,560.00","2,385.00","2,490.00","134,189"
2009-02-04,"2,490.00","2,505.00","2,230.00","2,250.00","196,431"
2009-02-03,"2,200.00","2,255.00","2,175.00","2,255.00","66,403"
2009-02-02,"2,220.00","2,315.00","2,170.00","2,175.00","126,165"
2009-01-30,"2,225.00","2,280.00","2,175.00","2,220.00","92,738"
2009-01-29,"2,250.00","2,250.00","2,100.00","2,215.00","164,972"
2009-01-28,"2,220.00","2,390.00","2,205.00","2,390.00","136,590"
2009-01-23,"2,300.00","2,360.00","2,230.00","2,360.00","71,518"
2009-01-22,"2,370.00","2,495.00","2,270.00","2,380.00","246,331"
2009-01-21,"2,280.00","2,400.00","2,010.00","2,115.00","147,647"
2009-01-20,"2,185.00","2,220.00","2,025.00","2,160.00","118,095"
2009-01-19,"2,110.00","2,270.00","2,020.00","2,030.00","187,371"
